pairID,gold_label
7591663030.jpg#4r1n,contradiction
7591663030.jpg#4r1e,neutral
7591663030.jpg#4r1c,contradiction
5389902618.jpg#2r1e,neutral
5389902618.jpg#2r1c,contradiction
5389902618.jpg#2r1n,contradiction
7249180494.jpg#0r1e,neutral
7249180494.jpg#0r1c,neutral
7249180494.jpg#0r1n,neutral
7249180494.jpg#1r1n,neutral
7249180494.jpg#1r1e,contradiction
7249180494.jpg#1r1c,entailment
4234824441.jpg#2r1n,neutral
4234824441.jpg#2r1c,entailment
4234824441.jpg#2r1e,entailment
1680409989.jpg#0r1n,entailment
1680409989.jpg#0r1e,entailment
1680409989.jpg#0r1c,contradiction
1680409989.jpg#3r1e,entailment
1680409989.jpg#3r1n,entailment
1680409989.jpg#3r1c,entailment
4581834644.jpg#1r1c,entailment
4581834644.jpg#1r1n,entailment
4581834644.jpg#1r1e,entailment
4684641618.jpg#0r1n,neutral
4684641618.jpg#0r1c,entailment
4684641618.jpg#0r1e,contradiction
525338588.jpg#0r1n,entailment
525338588.jpg#0r1e,contradiction
525338588.jpg#0r1c,neutral
2487069642.jpg#1r1e,neutral
2487069642.jpg#1r1n,entailment
2487069642.jpg#1r1c,entailment
1384292980.jpg#1r1e,entailment
1384292980.jpg#1r1c,neutral
1384292980.jpg#1r1n,contradiction
216172386.jpg#0r1c,neutral
216172386.jpg#0r1e,entailment
216172386.jpg#0r1n,contradiction
2245918465.jpg#1r1e,neutral
2245918465.jpg#1r1c,contradiction
2245918465.jpg#1r1n,neutral
2289096282.jpg#1r1e,entailment
2289096282.jpg#1r1c,neutral
2289096282.jpg#1r1n,neutral
3167503189.jpg#2r1n,neutral
3167503189.jpg#2r1c,entailment
3167503189.jpg#2r1e,entailment
7523563426.jpg#0r1c,contradiction
7523563426.jpg#0r1e,contradiction
7523563426.jpg#0r1n,neutral
3626642428.jpg#3r1n,contradiction
3626642428.jpg#3r1e,neutral
3626642428.jpg#3r1c,neutral
4859630545.jpg#1r1c,neutral
4859630545.jpg#1r1n,entailment
4859630545.jpg#1r1e,neutral
288351324.jpg#4r1e,neutral
288351324.jpg#4r1n,neutral
288351324.jpg#4r1c,entailment
2398915100.jpg#3r1e,entailment
2398915100.jpg#3r1n,contradiction
2398915100.jpg#3r1c,neutral
4361879526.jpg#4r1e,entailment
4361879526.jpg#4r1c,contradiction
4361879526.jpg#4r1n,neutral
3335501468.jpg#2r1c,contradiction
3335501468.jpg#2r1n,entailment
4928783075.jpg#1r1e,entailment
4928783075.jpg#1r1n,entailment
4928783075.jpg#1r1c,contradiction
4846892973.jpg#0r1n,contradiction
4846892973.jpg#0r1e,neutral
4846892973.jpg#0r1c,neutral
4923472130.jpg#2r1e,entailment
4923472130.jpg#2r1n,contradiction
4923472130.jpg#2r1c,contradiction
2348557363.jpg#4r1c,neutral
2348557363.jpg#4r1e,entailment
2348557363.jpg#4r1n,entailment
3439382048.jpg#3r1c,contradiction
3439382048.jpg#3r1e,contradiction
3439382048.jpg#3r1n,neutral
1354318519.jpg#1r1e,entailment
1354318519.jpg#1r1n,neutral
1354318519.jpg#1r1c,contradiction
484443289.jpg#1r1e,neutral
484443289.jpg#1r1c,neutral
484443289.jpg#1r1n,entailment
484443289.jpg#0r1n,contradiction
484443289.jpg#0r1e,contradiction
484443289.jpg#0r1c,neutral
3544654074.jpg#2r1n,entailment
3544654074.jpg#2r1e,contradiction
3544654074.jpg#2r1c,entailment
4796753895.jpg#1r1c,neutral
4796753895.jpg#1r1e,neutral
4796753895.jpg#1r1n,neutral
4479330885.jpg#3r1e,entailment
4479330885.jpg#3r1c,entailment
4479330885.jpg#3r1n,neutral
3419238351.jpg#0r1n,neutral
3419238351.jpg#0r1e,neutral
3419238351.jpg#0r1c,neutral
4715587253.jpg#3r1e,neutral
4715587253.jpg#3r1c,entailment
4715587253.jpg#3r1n,contradiction
3126681108.jpg#1r1c,neutral
3126681108.jpg#1r1n,entailment
3126681108.jpg#1r1e,contradiction
2770821714.jpg#2r1n,neutral
2770821714.jpg#2r1e,neutral
2770821714.jpg#2r1c,entailment
535179217.jpg#1r1e,entailment
535179217.jpg#1r1n,contradiction
535179217.jpg#1r1c,neutral
764507.jpg#3r1n,neutral
764507.jpg#3r1c,entailment
764507.jpg#3r1e,neutral
2286270205.jpg#3r1c,entailment
2286270205.jpg#3r1e,entailment
2286270205.jpg#3r1n,entailment
4777826385.jpg#0r1n,neutral
4777826385.jpg#0r1c,entailment
4777826385.jpg#0r1e,neutral
3944497603.jpg#2r1c,entailment
3944497603.jpg#2r1e,neutral
3944497603.jpg#2r1n,contradiction
2592711202.jpg#3r1n,neutral
2592711202.jpg#3r1c,contradiction
2592711202.jpg#3r1e,entailment
6935146937.jpg#1r1n,neutral
6935146937.jpg#1r1e,contradiction
6935146937.jpg#1r1c,entailment
6935146937.jpg#0r1c,neutral
6935146937.jpg#0r1e,entailment
6935146937.jpg#0r1n,contradiction
4692746525.jpg#1r1e,contradiction
4692746525.jpg#1r1n,neutral
4692746525.jpg#1r1c,neutral
2004326408.jpg#0r1e,neutral
2004326408.jpg#0r1n,entailment
2004326408.jpg#0r1c,neutral
5479743540.jpg#4r1e,contradiction
5479743540.jpg#4r1c,neutral
5479743540.jpg#4r1n,contradiction
5479743540.jpg#0r1n,entailment
5479743540.jpg#0r1c,entailment
5479743540.jpg#0r1e,contradiction
2045127186.jpg#1r1n,entailment
2045127186.jpg#1r1c,contradiction
2045127186.jpg#1r1e,contradiction
2074244690.jpg#2r1c,entailment
2074244690.jpg#2r1e,contradiction
2074244690.jpg#2r1n,neutral
273248777.jpg#0r1n,entailment
273248777.jpg#0r1e,contradiction
273248777.jpg#0r1c,neutral
862177617.jpg#0r1n,entailment
862177617.jpg#0r1c,contradiction
862177617.jpg#0r1e,entailment
7165193566.jpg#4r1c,entailment
7165193566.jpg#4r1n,contradiction
7165193566.jpg#4r1e,neutral
4705094483.jpg#0r1n,entailment
4705094483.jpg#0r1c,neutral
4705094483.jpg#0r1e,contradiction
24053752.jpg#0r1c,neutral
24053752.jpg#0r1n,contradiction
24053752.jpg#0r1e,entailment
4733474874.jpg#0r1n,neutral
4733474874.jpg#0r1c,neutral
4733474874.jpg#0r1e,neutral
2464311348.jpg#4r1n,entailment
2464311348.jpg#4r1e,neutral
2464311348.jpg#4r1c,entailment
424047148.jpg#0r1n,neutral
424047148.jpg#0r1e,contradiction
424047148.jpg#0r1c,entailment
15641879.jpg#3r1c,neutral
15641879.jpg#3r1n,neutral
15641879.jpg#3r1e,neutral
4678920190.jpg#3r1c,contradiction
4678920190.jpg#3r1e,neutral
4678920190.jpg#3r1n,contradiction
290650302.jpg#0r1e,neutral
290650302.jpg#0r1n,neutral
290650302.jpg#0r1c,contradiction
4489833894.jpg#4r1n,entailment
4489833894.jpg#4r1e,contradiction
4489833894.jpg#4r1c,entailment
3316725440.jpg#4r1e,neutral
3316725440.jpg#4r1n,contradiction
3316725440.jpg#4r1c,entailment
664470170.jpg#0r1e,neutral
664470170.jpg#0r1c,neutral
664470170.jpg#0r1n,neutral
350630236.jpg#0r1n,contradiction
350630236.jpg#0r1c,neutral
350630236.jpg#0r1e,entailment
2737097000.jpg#1r1n,neutral
2737097000.jpg#1r1e,neutral
2737097000.jpg#1r1c,entailment
6338544926.jpg#0r1n,neutral
6338544926.jpg#0r1c,contradiction
6338544926.jpg#0r1e,neutral
6338544926.jpg#1r1n,contradiction
6338544926.jpg#1r1c,contradiction
6338544926.jpg#1r1e,entailment
76607426.jpg#4r1n,entailment
76607426.jpg#4r1e,entailment
76607426.jpg#4r1c,neutral
3199460792.jpg#1r1n,contradiction
3199460792.jpg#1r1c,neutral
3199460792.jpg#1r1e,contradiction
4774884519.jpg#0r1n,neutral
4774884519.jpg#0r1c,contradiction
4774884519.jpg#0r1e,entailment
2483666380.jpg#2r1n,neutral
2483666380.jpg#2r1e,neutral
2483666380.jpg#2r1c,entailment
1457898867.jpg#4r1n,neutral
1457898867.jpg#4r1e,contradiction
1457898867.jpg#4r1c,contradiction
3653497668.jpg#4r1n,neutral
3653497668.jpg#4r1c,contradiction
3653497668.jpg#4r1e,contradiction
2280438093.jpg#1r1e,contradiction
2280438093.jpg#1r1c,contradiction
2280438093.jpg#1r1n,entailment
5400154.jpg#3r1c,neutral
5400154.jpg#3r1n,entailment
5400154.jpg#3r1e,entailment
4702657446.jpg#0r1e,neutral
4702657446.jpg#0r1c,contradiction
1333888922.jpg#1r1c,contradiction
1333888922.jpg#1r1e,contradiction
1333888922.jpg#1r1n,neutral
2652382453.jpg#2r1e,entailment
2652382453.jpg#2r1c,contradiction
2652382453.jpg#2r1n,entailment
272471327.jpg#0r1e,entailment
272471327.jpg#0r1n,contradiction
272471327.jpg#0r1c,contradiction
2425411995.jpg#2r1e,entailment
2425411995.jpg#2r1n,neutral
2425411995.jpg#2r1c,contradiction
7700080224.jpg#4r1n,entailment
7700080224.jpg#4r1c,entailment
7700080224.jpg#4r1e,entailment
7700080224.jpg#0r1e,neutral
7700080224.jpg#0r1n,neutral
7700080224.jpg#0r1c,neutral
4914029409.jpg#0r1n,entailment
4914029409.jpg#0r1c,entailment
4914029409.jpg#0r1e,neutral
4914029409.jpg#1r1n,contradiction
4914029409.jpg#1r1c,contradiction
4914029409.jpg#1r1e,entailment
3091754891.jpg#4r1e,contradiction
3091754891.jpg#4r1c,contradiction
3091754891.jpg#4r1n,contradiction
2749755023.jpg#4r1e,neutral
2749755023.jpg#4r1n,contradiction
2749755023.jpg#4r1c,neutral
7113652429.jpg#0r1n,contradiction
7113652429.jpg#0r1c,contradiction
7113652429.jpg#0r1e,entailment
4000148666.jpg#0r1c,neutral
4000148666.jpg#0r1n,entailment
4000148666.jpg#0r1e,entailment
4886223475.jpg#0r1n,neutral
4886223475.jpg#0r1c,contradiction
4886223475.jpg#0r1e,neutral
3831031977.jpg#4r1e,neutral
3831031977.jpg#4r1n,contradiction
3831031977.jpg#4r1c,contradiction
2737409349.jpg#0r1c,entailment
2737409349.jpg#0r1n,contradiction
2737409349.jpg#0r1e,neutral
3425071001.jpg#3r1c,neutral
3425071001.jpg#3r1n,contradiction
3425071001.jpg#3r1e,contradiction
3551170666.jpg#3r1n,contradiction
3551170666.jpg#3r1e,neutral
3551170666.jpg#3r1c,contradiction
4525101035.jpg#0r1c,neutral
4525101035.jpg#0r1n,entailment
4525101035.jpg#0r1e,entailment
4525101035.jpg#3r1n,neutral
4525101035.jpg#3r1c,contradiction
4525101035.jpg#3r1e,neutral
4525101035.jpg#4r1n,neutral
4525101035.jpg#4r1e,entailment
4525101035.jpg#4r1c,entailment
2529226054.jpg#2r1n,contradiction
2529226054.jpg#2r1e,contradiction
2529226054.jpg#2r1c,contradiction
2743046728.jpg#3r1e,contradiction
2743046728.jpg#3r1c,contradiction
2743046728.jpg#3r1n,neutral
4923272200.jpg#0r1e,neutral
4923272200.jpg#0r1n,entailment
4923272200.jpg#0r1c,neutral
3192645199.jpg#0r1e,entailment
3192645199.jpg#0r1c,contradiction
3192645199.jpg#0r1n,entailment
2344969116.jpg#0r1c,entailment
2344969116.jpg#0r1n,neutral
2344969116.jpg#0r1e,contradiction
3411022255.jpg#1r1c,contradiction
3411022255.jpg#1r1e,neutral
3411022255.jpg#1r1n,neutral
2230885062.jpg#2r1e,entailment
2230885062.jpg#2r1n,neutral
2230885062.jpg#2r1c,entailment
1970275389.jpg#0r1n,contradiction
1970275389.jpg#0r1c,neutral
1970275389.jpg#0r1e,neutral
4705275413.jpg#0r1e,contradiction
4705275413.jpg#0r1n,neutral
4705275413.jpg#0r1c,contradiction
4731413904.jpg#1r1e,entailment
4731413904.jpg#1r1n,entailment
4731413904.jpg#1r1c,contradiction
4906946.jpg#1r1e,neutral
4906946.jpg#1r1n,neutral
4906946.jpg#1r1c,entailment
5716554915.jpg#0r1n,neutral
5716554915.jpg#0r1e,contradiction
5716554915.jpg#0r1c,neutral
2412152032.jpg#1r1n,neutral
2412152032.jpg#1r1c,contradiction
2412152032.jpg#1r1e,neutral
3324056835.jpg#0r1n,neutral
3324056835.jpg#0r1c,contradiction
3324056835.jpg#0r1e,contradiction
4477683613.jpg#1r1c,contradiction
4477683613.jpg#1r1e,entailment
4477683613.jpg#1r1n,entailment
3693415584.jpg#2r1n,entailment
3693415584.jpg#2r1c,entailment
3693415584.jpg#2r1e,entailment
739944487.jpg#1r1c,neutral
739944487.jpg#1r1e,contradiction
739944487.jpg#1r1n,entailment
3746285587.jpg#2r1n,contradiction
3746285587.jpg#2r1e,contradiction
3746285587.jpg#2r1c,contradiction
3289817083.jpg#2r1c,neutral
3289817083.jpg#2r1e,neutral
3289817083.jpg#2r1n,entailment
4621091937.jpg#3r1e,neutral
4621091937.jpg#3r1c,entailment
4621091937.jpg#3r1n,entailment
3008370541.jpg#3r1e,contradiction
3008370541.jpg#3r1n,neutral
3008370541.jpg#3r1c,contradiction
3696184025.jpg#1r1e,neutral
3696184025.jpg#1r1n,neutral
3696184025.jpg#1r1c,entailment
2330536645.jpg#2r2n,neutral
2330536645.jpg#2r2e,contradiction
2330536645.jpg#2r2c,neutral
2330536645.jpg#1r1c,contradiction
2330536645.jpg#1r1e,entailment
2330536645.jpg#1r1n,neutral
209605542.jpg#0r1c,neutral
209605542.jpg#0r1e,contradiction
209605542.jpg#0r1n,contradiction
209605542.jpg#1r1e,contradiction
209605542.jpg#1r1n,neutral
209605542.jpg#1r1c,entailment
3638783842.jpg#2r1e,entailment
3638783842.jpg#2r1n,neutral
3638783842.jpg#2r1c,entailment
4337751447.jpg#2r1e,neutral
4337751447.jpg#2r1n,neutral
4337751447.jpg#2r1c,entailment
8227381437.jpg#4r1e,neutral
8227381437.jpg#4r1c,entailment
8227381437.jpg#4r1n,contradiction
3720932219.jpg#0r1n,entailment
3720932219.jpg#0r1e,entailment
3720932219.jpg#0r1c,entailment
3720932219.jpg#1r1e,entailment
3720932219.jpg#1r1n,neutral
3720932219.jpg#1r1c,contradiction
2453990033.jpg#4r1n,entailment
2453990033.jpg#4r1c,neutral
2453990033.jpg#4r1e,contradiction
3228341718.jpg#2r1e,contradiction
3228341718.jpg#2r1c,neutral
3228341718.jpg#2r1n,neutral
42397423.jpg#2r1c,entailment
42397423.jpg#2r1e,entailment
42397423.jpg#2r1n,neutral
42397423.jpg#0r1c,neutral
42397423.jpg#0r1n,entailment
42397423.jpg#0r1e,contradiction
4626556918.jpg#2r1e,neutral
4626556918.jpg#2r1c,contradiction
4626556918.jpg#2r1n,contradiction
7995263133.jpg#0r1c,neutral
7995263133.jpg#0r1n,contradiction
7995263133.jpg#0r1e,neutral
759822302.jpg#2r1c,neutral
759822302.jpg#2r1e,neutral
759822302.jpg#2r1n,neutral
378336163.jpg#1r1e,entailment
378336163.jpg#1r1c,entailment
378336163.jpg#1r1n,contradiction
2832453252.jpg#1r1n,contradiction
2832453252.jpg#1r1e,entailment
2832453252.jpg#1r1c,neutral
2832453252.jpg#2r1e,entailment
2832453252.jpg#2r1c,entailment
2832453252.jpg#2r1n,neutral
4696008531.jpg#2r1c,neutral
4696008531.jpg#2r1e,entailment
4696008531.jpg#2r1n,neutral
3240570205.jpg#0r1n,entailment
3240570205.jpg#0r1c,contradiction
3240570205.jpg#0r1e,neutral
2747436384.jpg#3r1n,neutral
2747436384.jpg#3r1e,entailment
2747436384.jpg#3r1c,contradiction
2747436384.jpg#1r1e,entailment
2747436384.jpg#1r1c,neutral
2747436384.jpg#1r1n,entailment
6073765731.jpg#3r1n,contradiction
6073765731.jpg#3r1e,entailment
6073765731.jpg#2r1c,neutral
6073765731.jpg#2r1e,neutral
6073765731.jpg#2r1n,entailment
4647462263.jpg#0r1n,entailment
4647462263.jpg#0r1c,entailment
4647462263.jpg#0r1e,contradiction
6309331514.jpg#0r1e,neutral
6309331514.jpg#0r1c,neutral
6309331514.jpg#0r1n,neutral
3344526059.jpg#4r1n,entailment
3344526059.jpg#4r1c,neutral
3344526059.jpg#4r1e,contradiction
6191516871.jpg#0r1e,neutral
6191516871.jpg#0r1c,neutral
6191516871.jpg#0r1n,contradiction
2578003921.jpg#4r1n,neutral
2578003921.jpg#4r1c,neutral
2578003921.jpg#4r1e,neutral
2096686198.jpg#0r1n,neutral
2096686198.jpg#0r1e,entailment
2096686198.jpg#0r1c,entailment
3439087390.jpg#2r1n,entailment
3439087390.jpg#2r1e,entailment
3439087390.jpg#2r1c,entailment
3128856481.jpg#3r1n,contradiction
3128856481.jpg#3r1e,neutral
3128856481.jpg#3r1c,entailment
4526977553.jpg#2r1c,contradiction
4526977553.jpg#2r1e,neutral
4526977553.jpg#2r1n,neutral
2721954475.jpg#0r1n,contradiction
2721954475.jpg#0r1c,entailment
2721954475.jpg#0r1e,contradiction
3065082909.jpg#0r1n,entailment
3065082909.jpg#0r1e,entailment
3065082909.jpg#0r1c,contradiction
2913965136.jpg#2r1e,neutral
2913965136.jpg#2r1n,entailment
2913965136.jpg#2r1c,neutral
4868221344.jpg#4r1e,entailment
4868221344.jpg#4r1c,neutral
4868221344.jpg#4r1n,contradiction
4485090958.jpg#0r1n,neutral
4485090958.jpg#0r1c,contradiction
4485090958.jpg#0r1e,entailment
4485090958.jpg#2r1c,neutral
4485090958.jpg#2r1e,neutral
4485090958.jpg#2r1n,entailment
4326517877.jpg#4r1c,entailment
4326517877.jpg#4r1n,contradiction
4326517877.jpg#4r1e,entailment
3881645432.jpg#0r1n,neutral
3881645432.jpg#0r1e,neutral
3881645432.jpg#0r1c,entailment
5221111799.jpg#1r1n,neutral
5221111799.jpg#1r1e,entailment
5221111799.jpg#1r1c,entailment
6218407324.jpg#1r1e,entailment
6218407324.jpg#1r1c,entailment
6218407324.jpg#1r1n,neutral
2407214681.jpg#2r1e,contradiction
2407214681.jpg#2r1n,neutral
2407214681.jpg#2r1c,neutral
2407214681.jpg#1r1n,entailment
2407214681.jpg#1r1e,contradiction
2407214681.jpg#1r1c,contradiction
2581066814.jpg#4r1e,neutral
2581066814.jpg#4r1c,neutral
2581066814.jpg#4r1n,contradiction
4958466857.jpg#0r1e,neutral
4958466857.jpg#0r1c,contradiction
4958466857.jpg#0r1n,neutral
4958466857.jpg#1r1n,neutral
4958466857.jpg#1r1e,neutral
4958466857.jpg#2r1e,contradiction
4958466857.jpg#2r1c,entailment
4958466857.jpg#2r1n,contradiction
93447586.jpg#4r1n,neutral
93447586.jpg#4r1c,contradiction
93447586.jpg#4r1e,entailment
3262801036.jpg#1r1e,entailment
3262801036.jpg#1r1n,entailment
3262801036.jpg#1r1c,contradiction
3056595980.jpg#2r1n,entailment
3056595980.jpg#2r1c,entailment
3056595980.jpg#2r1e,entailment
3678098428.jpg#3r1n,neutral
3678098428.jpg#3r1c,entailment
3678098428.jpg#3r1e,entailment
3610460852.jpg#0r1e,contradiction
3610460852.jpg#0r1n,neutral
3610460852.jpg#0r1c,neutral
3329289652.jpg#3r1e,neutral
3329289652.jpg#3r1n,neutral
3329289652.jpg#3r1c,entailment
4815043888.jpg#3r1n,entailment
4815043888.jpg#3r1c,entailment
4815043888.jpg#3r1e,contradiction
5199580790.jpg#2r1n,entailment
5199580790.jpg#2r1e,neutral
5199580790.jpg#2r1c,contradiction
539493423.jpg#4r1c,neutral
539493423.jpg#4r1e,neutral
539493423.jpg#4r1n,entailment
3610836768.jpg#4r1n,entailment
3610836768.jpg#4r1c,contradiction
3610836768.jpg#4r1e,entailment
4716175317.jpg#0r1n,entailment
4716175317.jpg#0r1c,contradiction
4716175317.jpg#0r1e,contradiction
2503091968.jpg#0r1n,contradiction
2503091968.jpg#0r1e,neutral
2503091968.jpg#0r1c,entailment
481355454.jpg#1r1c,neutral
481355454.jpg#1r1e,contradiction
481355454.jpg#1r1n,entailment
2142631327.jpg#0r1n,contradiction
2142631327.jpg#0r1c,neutral
2142631327.jpg#0r1e,contradiction
4479482872.jpg#0r1n,neutral
4479482872.jpg#0r1e,entailment
4479482872.jpg#0r1c,neutral
209088143.jpg#3r1c,neutral
209088143.jpg#3r1e,entailment
209088143.jpg#3r1n,contradiction
2652311904.jpg#1r1e,contradiction
2652311904.jpg#1r1c,neutral
2652311904.jpg#1r1n,neutral
6757018587.jpg#0r1n,neutral
6757018587.jpg#0r1c,entailment
6757018587.jpg#0r1e,neutral
6651302933.jpg#3r1e,neutral
6651302933.jpg#3r1n,entailment
6651302933.jpg#3r1c,neutral
7024547367.jpg#3r1e,contradiction
7024547367.jpg#3r1n,neutral
7024547367.jpg#3r1c,neutral
4589050600.jpg#3r1n,contradiction
4589050600.jpg#3r1e,contradiction
4589050600.jpg#3r1c,neutral
7981322255.jpg#2r1n,entailment
7981322255.jpg#2r1e,entailment
7981322255.jpg#2r1c,entailment
295344517.jpg#4r1n,entailment
295344517.jpg#4r1c,contradiction
295344517.jpg#4r1e,contradiction
7206615914.jpg#2r1e,neutral
7206615914.jpg#2r1c,neutral
4692456296.jpg#2r1n,entailment
4692456296.jpg#2r1c,neutral
4692456296.jpg#2r1e,entailment
3720210639.jpg#4r1n,entailment
3720210639.jpg#4r1c,neutral
3720210639.jpg#4r1e,neutral
3462454965.jpg#4r1e,contradiction
3462454965.jpg#4r1c,contradiction
3462454965.jpg#4r1n,contradiction
435966316.jpg#1r1e,contradiction
435966316.jpg#1r1n,neutral
435966316.jpg#1r1c,contradiction
3344175369.jpg#0r1n,contradiction
3344175369.jpg#0r1e,entailment
3344175369.jpg#0r1c,neutral
4643839937.jpg#3r1n,neutral
4643839937.jpg#3r1c,contradiction
4643839937.jpg#3r1e,contradiction
6320815265.jpg#0r1n,neutral
6320815265.jpg#0r1e,entailment
6320815265.jpg#0r1c,contradiction
3455431229.jpg#4r1e,contradiction
3455431229.jpg#4r1n,neutral
2373018323.jpg#1r1e,neutral
2373018323.jpg#1r1n,contradiction
2373018323.jpg#1r1c,entailment
1814086703.jpg#3r1e,neutral
1814086703.jpg#3r1c,contradiction
1814086703.jpg#3r1n,entailment
4814763982.jpg#3r1e,neutral
4814763982.jpg#3r1c,entailment
4814763982.jpg#3r1n,entailment
611301340.jpg#1r1e,neutral
611301340.jpg#1r1c,contradiction
611301340.jpg#1r1n,entailment
3414867566.jpg#4r1e,entailment
3414867566.jpg#4r1c,entailment
3414867566.jpg#4r1n,entailment
2311616095.jpg#1r1n,neutral
2311616095.jpg#1r1e,neutral
2311616095.jpg#1r1c,entailment
2954291559.jpg#2r1e,contradiction
2954291559.jpg#2r1c,contradiction
2954291559.jpg#2r1n,entailment
4704668708.jpg#0r1e,entailment
4704668708.jpg#0r1c,neutral
4704668708.jpg#0r1n,entailment
2249141510.jpg#2r1n,entailment
2249141510.jpg#2r1e,neutral
2249141510.jpg#2r1c,contradiction
3549277110.jpg#3r1n,entailment
3549277110.jpg#3r1c,contradiction
3549277110.jpg#3r1e,entailment
5226870137.jpg#0r1c,neutral
5226870137.jpg#0r1e,neutral
5226870137.jpg#0r1n,contradiction
74706256.jpg#0r1e,neutral
74706256.jpg#0r1n,contradiction
